time,latitude,longitude,altitude
2023-07-21 21:29:28+00:00,47.466393,-121.931723,420.7
2023-07-21 21:29:29+00:00,47.466471,-121.931764,420.7
2023-07-21 21:29:30+00:00,47.46649,-121.931756,420.7
2023-07-21 21:29:31+00:00,47.466482,-121.931717,420.7
2023-07-21 21:29:32+00:00,47.466479,-121.931673,420.7
2023-07-21 21:29:33+00:00,47.466487,-121.931666,420.7
2023-07-21 21:29:34+00:00,47.466501,-121.931649,420.7
2023-07-21 21:29:35+00:00,47.466499,-121.931641,420.7
2023-07-21 21:29:36+00:00,47.466486,-121.931638,420.7
2023-07-21 21:29:37+00:00,47.466474,-121.931636,420.7
2023-07-21 21:30:02+00:00,47.466461,-121.931634,420.7
2023-07-21 21:30:03+00:00,47.466449,-121.931632,420.7
2023-07-21 21:30:04+00:00,47.466436,-121.93163,420.7
2023-07-21 21:30:05+00:00,47.466432,-121.931586,420.7
2023-07-21 21:30:06+00:00,47.466425,-121.931538,420.8
2023-07-21 21:30:07+00:00,47.466429,-121.931488,420.8
2023-07-21 21:30:08+00:00,47.466428,-121.931436,420.8
2023-07-21 21:30:09+00:00,47.466425,-121.931419,420.8
2023-07-21 21:30:10+00:00,47.466422,-121.931362,420.8
2023-07-21 21:30:11+00:00,47.466423,-121.931343,420.8
2023-07-21 21:30:12+00:00,47.466417,-121.931311,420.8
2023-07-21 21:30:13+00:00,47.466416,-121.931293,420.8
2023-07-21 21:30:14+00:00,47.466425,-121.931262,420.9
2023-07-21 21:30:15+00:00,47.466429,-121.931256,420.9
2023-07-21 21:30:16+00:00,47.466432,-121.931234,420.9
2023-07-21 21:30:17+00:00,47.466435,-121.931214,420.9
2023-07-21 21:30:18+00:00,47.466437,-121.931195,420.9
2023-07-21 21:30:19+00:00,47.46644,-121.931176,420.9
2023-07-21 21:30:20+00:00,47.466443,-121.931156,420.9
2023-07-21 21:30:21+00:00,47.466445,-121.931137,420.9
2023-07-21 21:30:22+00:00,47.466448,-121.931117,420.9
2023-07-21 21:30:23+00:00,47.46645,-121.931098,421.0
