time,latitude,longitude,altitude
2022-03-23 18:44:11+00:00,47.620919,-122.29153,37.6
2022-03-23 18:44:12+00:00,47.620721,-122.291313,39.4
2022-03-23 18:44:13+00:00,47.6207,-122.291317,39.6
2022-03-23 18:44:14+00:00,47.620667,-122.291291,39.9
2022-03-23 18:44:15+00:00,47.620625,-122.291264,40.2
2022-03-23 18:44:16+00:00,47.620607,-122.291214,40.4
2022-03-23 18:44:17+00:00,47.620582,-122.291187,40.6
2022-03-23 18:44:18+00:00,47.620572,-122.29118,40.7
2022-03-23 18:44:19+00:00,47.620543,-122.291158,40.9
2022-03-23 18:44:20+00:00,47.620534,-122.291156,41.0
2022-03-23 18:44:21+00:00,47.620498,-122.29116,41.2
2022-03-23 18:44:22+00:00,47.620486,-122.291159,41.3
2022-03-23 18:44:23+00:00,47.620453,-122.291148,41.5
2022-03-23 18:44:24+00:00,47.620441,-122.291147,41.6
2022-03-23 18:44:25+00:00,47.620421,-122.291156,41.7
2022-03-23 18:44:26+00:00,47.620408,-122.291149,41.8
2022-03-23 18:44:27+00:00,47.620374,-122.291133,42.0
2022-03-23 18:44:28+00:00,47.620363,-122.291132,42.1
2022-03-23 18:44:29+00:00,47.620334,-122.291129,42.2
2022-03-23 18:44:30+00:00,47.620326,-122.291127,42.3
2022-03-23 18:44:31+00:00,47.620298,-122.291139,42.4
2022-03-23 18:44:32+00:00,47.620273,-122.291156,42.5
2022-03-23 18:44:33+00:00,47.620237,-122.291155,42.7
2022-03-23 18:44:34+00:00,47.620225,-122.291154,42.7
2022-03-23 18:44:35+00:00,47.620197,-122.291162,42.8
2022-03-23 18:44:36+00:00,47.62017,-122.291163,42.9
2022-03-23 18:44:37+00:00,47.620139,-122.291164,43.0
2022-03-23 18:44:38+00:00,47.620101,-122.291158,43.1
2022-03-23 18:44:39+00:00,47.620088,-122.291155,43.1
2022-03-23 18:44:40+00:00,47.620052,-122.291146,43.1
2022-03-23 18:44:41+00:00,47.620024,-122.291138,43.1
2022-03-23 18:44:42+00:00,47.619996,-122.29115,43.2
2022-03-23 18:44:43+00:00,47.619967,-122.291147,43.2
2022-03-23 18:44:44+00:00,47.619938,-122.291146,43.2
2022-03-23 18:44:45+00:00,47.61991,-122.291148,43.2
2022-03-23 18:44:46+00:00,47.619872,-122.291147,43.2
2022-03-23 18:44:47+00:00,47.619834,-122.291142,43.2
2022-03-23 18:44:48+00:00,47.619802,-122.291139,43.2
2022-03-23 18:44:49+00:00,47.619772,-122.291149,43.2
2022-03-23 18:44:50+00:00,47.619735,-122.291156,43.2
2022-03-23 18:44:51+00:00,47.619694,-122.29116,43.2
2022-03-23 18:44:52+00:00,47.61964,-122.291169,43.3
2022-03-23 18:44:53+00:00,47.619611,-122.291181,43.3
2022-03-23 18:44:54+00:00,47.619575,-122.291178,43.3
2022-03-23 18:44:55+00:00,47.619547,-122.291178,43.3
2022-03-23 18:44:56+00:00,47.619511,-122.291176,43.3
2022-03-23 18:44:57+00:00,47.619498,-122.291175,43.3
2022-03-23 18:44:58+00:00,47.619456,-122.291188,43.4
2022-03-23 18:44:59+00:00,47.619441,-122.291194,43.4
2022-03-23 18:45:00+00:00,47.619405,-122.291199,43.4
2022-03-23 18:45:01+00:00,47.61938,-122.291182,43.4
2022-03-23 18:45:02+00:00,47.619342,-122.291187,43.4
2022-03-23 18:45:03+00:00,47.619331,-122.29119,43.4
2022-03-23 18:45:04+00:00,47.619298,-122.291196,43.4
2022-03-23 18:45:05+00:00,47.619266,-122.291204,43.4
2022-03-23 18:45:06+00:00,47.619232,-122.291229,43.4
2022-03-23 18:45:07+00:00,47.619195,-122.29124,43.4
2022-03-23 18:45:08+00:00,47.619163,-122.291246,43.4
2022-03-23 18:45:09+00:00,47.619134,-122.291228,43.5
2022-03-23 18:45:10+00:00,47.619117,-122.291226,43.5
2022-03-23 18:45:11+00:00,47.619081,-122.291208,43.5
2022-03-23 18:45:12+00:00,47.619067,-122.291201,43.6
2022-03-23 18:45:13+00:00,47.61903,-122.291204,43.7
2022-03-23 18:45:14+00:00,47.619015,-122.291202,43.7
2022-03-23 18:45:15+00:00,47.618987,-122.291197,43.8
2022-03-23 18:45:16+00:00,47.618959,-122.291215,43.9
2022-03-23 18:45:17+00:00,47.618925,-122.291234,43.9
2022-03-23 18:45:18+00:00,47.618894,-122.291233,43.9
2022-03-23 18:45:19+00:00,47.618855,-122.291214,44.0
2022-03-23 18:45:20+00:00,47.618837,-122.291212,44.1
2022-03-23 18:45:21+00:00,47.6188,-122.291218,44.2
2022-03-23 18:45:22+00:00,47.618762,-122.291225,44.6
2022-03-23 18:45:23+00:00,47.618732,-122.291233,44.9
2022-03-23 18:45:24+00:00,47.618699,-122.291252,45.3
2022-03-23 18:45:25+00:00,47.618681,-122.291257,45.6
2022-03-23 18:45:26+00:00,47.618644,-122.291259,46.0
2022-03-23 18:45:27+00:00,47.618633,-122.291253,46.2
2022-03-23 18:45:28+00:00,47.618614,-122.291255,46.4
2022-03-23 18:45:29+00:00,47.618603,-122.291227,47.0
2022-03-23 18:45:30+00:00,47.618578,-122.291206,47.4
2022-03-23 18:45:31+00:00,47.618571,-122.291199,47.6
2022-03-23 18:45:32+00:00,47.618561,-122.29118,47.9
2022-03-23 18:45:33+00:00,47.618549,-122.29116,48.2
2022-03-23 18:45:34+00:00,47.61853,-122.291117,48.8
2022-03-23 18:45:35+00:00,47.618522,-122.291107,49.0
2022-03-23 18:45:36+00:00,47.618503,-122.291072,49.5
2022-03-23 18:45:37+00:00,47.618494,-122.29106,49.7
2022-03-23 18:45:38+00:00,47.618476,-122.291014,50.3
2022-03-23 18:45:39+00:00,47.61847,-122.290999,50.5
2022-03-23 18:45:40+00:00,47.618453,-122.290957,51.1
