,time,latitude,longitude,elevation_gain
74,2020-07-18 18:32:10+00:00,37.474393,-121.832355,761.8000000000001
75,2020-07-20 15:01:19+00:00,37.638503,-121.913011,468.8
76,2020-07-28 01:07:55+00:00,37.635656,-121.920538,346.80000000000007
77,2020-07-30 15:01:38+00:00,37.616818,-121.890414,255.20000000000007
78,2020-08-01 01:33:24+00:00,37.63853,-121.913024,452.69999999999993
79,2020-08-01 15:40:53+00:00,37.07107,-121.856419,1132.7000000000003
80,2020-08-04 01:31:10+00:00,37.63849,-121.91301,273.20000000000005
81,2020-08-12 02:29:57+00:00,37.640398,-121.915956,471.7999999999999
82,2020-08-25 22:21:48+00:00,44.561081,-69.665785,568.5000000000001
83,2020-08-26 22:09:39+00:00,44.712943,-69.729361,664.0
84,2020-08-28 20:58:34+00:00,45.100818,-70.30292,393.6000000000007
85,2020-08-31 19:57:46+00:00,44.581237,-69.651926,407.6
86,2020-09-01 22:15:26+00:00,44.54384,-69.688823,166.2
87,2020-09-03 22:16:19+00:00,44.555772,-69.738737,324.4000000000001
88,2020-09-04 18:42:47+00:00,44.211556,-69.148187,529.1999999999997
89,2020-09-06 20:03:39+00:00,44.556192,-69.740188,533.4000000000001
90,2020-09-12 18:10:18+00:00,44.530698,-69.725578,340.3000000000001
91,2020-09-14 20:06:35+00:00,44.602907,-69.697086,459.8
92,2020-09-16 21:42:25+00:00,44.581162,-69.651777,285.5
93,2020-09-18 21:31:30+00:00,44.580933,-69.651696,141.7
94,2020-09-20 21:07:36+00:00,44.59175,-69.697079,257.6
95,2020-09-21 20:56:12+00:00,44.58117,-69.651793,221.99999999999994
96,2020-09-23 20:53:24+00:00,44.581157,-69.651764,227.99999999999997
97,2020-09-24 20:42:51+00:00,44.591823,-69.697015,257.6
98,2020-09-26 17:47:09+00:00,43.796695,-70.33209,596.5000000000002
99,2020-09-29 21:16:43+00:00,44.560586,-69.665638,404.70000000000005
100,2020-10-10 18:12:01+00:00,44.374451,-70.716891,1008.4999999999999
101,2020-10-18 16:46:36+00:00,44.560737,-69.665516,303.70000000000005
